Team,Status,Team rating,CB,LB,RB,ST,CM,AM,LM,DM,LW,RW,RM,Rival team rating,CBr,LBr,RBr,STr,CMr,AMr,LMr,DMr,LWr,RWr,RMr,Result,Round,Team_encoded,Status_encoded
Brentford,Home,7.6,2,1,1,1,3,0,0,0,1,1,0,6.2,2,1,1,1,0,1,0,2,1,1,0,Win,9,3,1
Burnley,Guest,6.2,2,1,1,1,0,1,0,2,1,1,0,7.6,2,1,1,1,3,0,0,0,1,1,0,Lost,9,5,0
Man city,Home,7.1,3,0,0,1,0,2,0,2,1,1,0,6.2,2,1,1,1,0,1,0,2,1,1,0,Win,9,12,1
Brighton,Guest,6.2,2,1,1,1,0,1,0,2,1,1,0,7.1,3,0,0,1,0,2,0,2,1,1,0,Lost,9,4,0
Newcatle,Home,7.3,2,1,1,1,3,0,0,0,1,1,0,6.2,2,1,1,1,3,0,0,0,1,1,0,Win,9,14,1
Crystal palace,Guest,6.2,2,1,1,1,3,0,0,0,1,1,0,7.3,2,1,1,1,3,0,0,0,1,1,0,Lost,9,7,0
Nottm forest,Home,7.0,2,1,1,1,3,0,0,0,1,1,0,6.8,2,1,1,1,0,1,0,2,1,1,0,Draw,9,15,1
Luton,Guest,6.8,2,1,1,1,0,1,0,2,1,1,0,7.0,2,1,1,1,3,0,0,0,1,1,0,Draw,9,11,0
Chelsea,Home,6.7,2,1,1,1,0,1,0,2,1,1,0,6.9,2,1,1,1,3,0,0,0,1,1,0,Draw,9,6,1
Arsenal,Guest,6.9,2,1,1,1,3,0,0,0,1,1,0,6.7,2,1,1,1,0,1,0,2,1,1,0,Draw,9,0,0
Sheffiled utd,Home,6.6,2,1,1,2,2,0,1,0,0,0,1,7.4,2,1,1,1,0,1,0,2,1,1,0,Lost,9,16,1
Man utd,Guest,7.4,2,1,1,1,0,1,0,2,1,1,0,6.6,2,1,1,2,2,0,1,0,0,0,1,Win,9,13,0
Aston Villa,Home,7.7,2,1,1,2,2,0,1,0,0,0,1,6.2,2,1,1,1,0,1,0,2,1,1,0,Win,9,1,1
West ham,Guest,6.2,2,1,1,1,0,1,0,2,1,1,0,7.7,2,1,1,2,2,0,1,0,0,0,1,Lost,9,18,0
Tottenham,Home,7.5,2,1,1,1,0,1,0,2,1,1,0,6.3,2,1,1,1,0,1,0,2,1,1,0,Win,9,17,1
